asset_category,asset_description,placed_in_service_date,cost_basis_estimate,supporting_docs,location,notes
Land Improvements,Example: Driveway paving,YYYY-MM-DD,0.00,"Invoice, photos",Property address,
Site Utilities,Example: Underground electrical,YYYY-MM-DD,0.00,"Contractor invoice",Property address,
Building Structure,Example: Foundation and framing,YYYY-MM-DD,0.00,"Purchase contract",Property address,
HVAC,Example: Central air system,YYYY-MM-DD,0.00,"HVAC invoice, warranty",Property address,
Plumbing,Example: Water heater,YYYY-MM-DD,0.00,"Receipt, installation",Property address,
Electrical,Example: Circuit breaker panel,YYYY-MM-DD,0.00,"Electrical permit",Property address,
Flooring,Example: Hardwood floors,YYYY-MM-DD,0.00,"Flooring invoice",Specific rooms,
Appliances,Example: Refrigerator,YYYY-MM-DD,0.00,"Receipt, model number",Kitchen,
Cabinets & Counters,Example: Kitchen cabinets,YYYY-MM-DD,0.00,"Invoice, photos",Kitchen,
Landscaping,Example: Sprinkler system,YYYY-MM-DD,0.00,"Landscaping contract",Exterior,
Roofing,Example: Shingle roof,YYYY-MM-DD,0.00,"Roofing invoice",Exterior,
Exterior Improvements,Example: Deck or patio,YYYY-MM-DD,0.00,"Construction invoice",Exterior,
Interior Finishes,Example: Paint and trim,YYYY-MM-DD,0.00,"Contractor invoice",All rooms,
Other Personal Property,Example: Window treatments,YYYY-MM-DD,0.00,"Receipt",Specific rooms,
